Batch,Sample Type,Sample Description,code,Parameter,Result,Unit,CONHI,RPD/%REC,CHANGED,#Changed,Comment,,
140,RW16-5192,Unknown,5,TSS,16.5,mg/L,,,,,,16.5,mg/L
140,RW16-5192,Unknown,5,Nitrate-Nitrite,0.138,mg/L,,,,,,0.138,mg/L
140,RW16-5192,Unknown,5,Total Phosphorus,0.0861,mg/L,,,,,,86.1,ppb
140,RW16-5193,Unknown,5,Chloride,15.2,mg/L,,,,,,15.2,mg/L
140,RW16-5193,Duplicate Set,55,Chloride,16.1,mg/L,,0.2%,,,,16.1,mg/L
140,RW16-5193,Unknown,5,Sulfate,44.1,mg/L,,,,,,44.1,mg/L
140,RW16-5193,Duplicate Set,55,Sulfate,39.2,mg/L,,1.0%,,,,39.2,mg/L
140,RW16-5193,Unknown,5,TSS,4.3,mg/L,,,,,,4.3,mg/L
140,RW16-5193,Unknown,5,Nitrate-Nitrite,0.488,mg/L,,,,,,0.488,mg/L
140,RW16-5193,Duplicate Set,55,Nitrate-Nitrite,0.53,mg/L,,7.8%,,,,0.53,mg/L
140,RW16-5193,Unknown,5,Total Phosphorus,0.0582,mg/L,,,,,,58.2,ppb
140,RW16-5193,Duplicate Set,55,Total Phosphorus,0.0497,mg/L,,6.1%,,,,49.7,ppb
140,RW16-5193,Duplicate Set,55,Chloride,16.1,mg/L,,,,,,16.1,mg/L
140,RW16-5193,Duplicate Set,55,Sulfate,38.8,mg/L,,,,,,38.8,mg/L
140,RW16-5193,Duplicate Set,55,TSS,4.4,mg/L,,2.3%,,,,4.35,mg/L
140,RW16-5193,Duplicate Set,55,Nitrate-Nitrite,0.573,mg/L,,,,,,0.573,mg/L
140,RW16-5193,Duplicate Set,55,Total Phosphorus,0.0467,mg/L,,,,,,46.7,ppb
140,RW16-5194,Unknown,5,Chloride,11.9,mg/L,,,,,,11.9,mg/L
140,RW16-5194,Unknown,5,Sulfate,12.6,mg/L,,,,,,12.6,mg/L
140,RW16-5194,Unknown,5,TSS,0,mg/L,,,,,,2.85,mg/L
140,RW16-5194,Unknown,5,Nitrate-Nitrite,0,mg/L,,,,,,0.00666,mg/L
140,RW16-5194,Unknown,5,Total Phosphorus,0.0151,mg/L,,,,,,15.1,ppb
140,RW16-5195,Unknown,5,Chloride,10.3,mg/L,,,,,,10.3,mg/L
140,RW16-5195,Unknown,5,Sulfate,4.75,mg/L,,,,,,4.75,mg/L
140,RW16-5195,Unknown,5,TSS,0,mg/L,,,,,,0.4,mg/L
140,RW16-5195,Unknown,5,Nitrate-Nitrite,0.018,mg/L,,,,,,0.0183,mg/L
140,RW16-5195,Unknown,5,Total Phosphorus,0,mg/L,,,,,,2.01,ppb
140,RW16-5196,Unknown,5,Chloride,12.4,mg/L,,,,,,12.4,mg/L
140,RW16-5196,Unknown,5,Sulfate,3.44,mg/L,,,,,,3.44,mg/L
140,RW16-5196,Unknown,5,TSS,0,mg/L,,,,,,1.7,mg/L
140,RW16-5196,Unknown,5,Nitrate-Nitrite,0.074,mg/L,,,,,,0.0737,mg/L
140,RW16-5196,Unknown,5,Total Phosphorus,0.0174,mg/L,,,,,,17.4,ppb
140,RW16-5197,Unknown,5,Chloride,26.9,mg/L,,,,,,26.9,mg/L
140,RW16-5197,Unknown,5,Sulfate,112,mg/L,,,,,,112,mg/L
140,RW16-5197,Unknown,5,TSS,0,mg/L,,,,,,2.7,mg/L
140,RW16-5197,Unknown,5,Nitrate-Nitrite,0,mg/L,,,,,,-0.0529,mg/L
140,RW16-5197,Unknown,5,Total Phosphorus,0.0428,mg/L,,,,,,42.8,ppb
140,RW16-5198,Unknown,5,Chloride,28.1,mg/L,,,,,,28.1,mg/L
140,RW16-5198,Unknown,5,Sulfate,135,mg/L,,,,,,135,mg/L
140,RW16-5198,Unknown,5,TSS,0,mg/L,,,,,,3.15,mg/L
140,RW16-5198,Unknown,5,Nitrate-Nitrite,0.145,mg/L,,,,,,0.145,mg/L
140,RW16-5198,Unknown,5,Total Phosphorus,0.0697,mg/L,,,,,,69.7,ppb
140,RW16-5199,Unknown,5,Chloride,0,mg/L,,,,,,0.538,mg/L
140,RW16-5199,Unknown,5,Sulfate,141,mg/L,,,,,,141,mg/L
140,RW16-5199,Unknown,5,TSS,0,mg/L,,,,,,0.15,mg/L
140,RW16-5199,Unknown,5,Nitrate-Nitrite,0.635,mg/L,,,,,,0.635,mg/L
140,RW16-5199,Unknown,5,Total Phosphorus,0.036,mg/L,,,,,,36,ppb
140,RW16-5200,Unknown,5,Chloride,1.24,mg/L,,,,,,1.24,mg/L
140,RW16-5200,Unknown,5,Sulfate,322,mg/L,Y,,,,,322,mg/L
140,RW16-5200,Unknown,5,TSS,48.9,mg/L,,,,,,48.9,mg/L
140,RW16-5200,Unknown,5,Nitrate-Nitrite,0.093,mg/L,,,,,,0.0925,mg/L
140,RW16-5200,Unknown,5,Total Phosphorus,0.0542,mg/L,,,,,,54.2,ppb
140,RW16-5201,Unknown,5,Chloride,0,mg/L,,,,,,0.703,mg/L
140,RW16-5201,Duplicate Set,55,Chloride,1.1,mg/L,,,,,,1.1,mg/L
140,RW16-5201,Unknown,5,Sulfate,352,mg/L,Y,,,,,352,mg/L
140,RW16-5201,Duplicate Set,55,Sulfate,281,mg/L,,,,,,281,mg/L
